Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	300
2	1.000000000000000e+00	300
3	1.000000000000000e+00	300
4	1.000000000000000e+00	300
5	1.000000000000000e+00	300
6	1.000000000000000e+00	300
7	1.000000000000000e+00	300
8	1.000000000000000e+00	300
9	1.000000000000000e+00	300
10	1.000000000000000e+00	300
11	1.000000000000000e+00	300
12	1.000000000000000e+00	300
13	1.000000000000000e+00	300
14	1.000000000000000e+00	300
15	1.000000000000000e+00	300
16	1.000000000000000e+00	300
17	1.000000000000000e+00	300
18	1.000000000000000e+00	300
19	1.000000000000000e+00	300
20	1.000000000000000e+00	300
21	1.000000000000000e+00	300
22	1.000000000000000e+00	300
23	1.000000000000000e+00	300
24	1.000000000000000e+00	300
25	1.000000000000000e+00	300
26	1.000000000000000e+00	300
27	1.000000000000000e+00	300
28	1.000000000000000e+00	300
29	1.000000000000000e+00	300
30	1.000000000000000e+00	300
31	1.000000000000000e+00	300
32	1.000000000000000e+00	300
33	1.000000000000000e+00	300
34	1.000000000000000e+00	300
35	1.000000000000000e+00	300
36	1.000000000000000e+00	300
37	1.000000000000000e+00	300
38	1.000000000000000e+00	300
39	1.000000000000000e+00	300
40	1.000000000000000e+00	300
41	1.000000000000000e+00	300
42	1.000000000000000e+00	300
43	1.000000000000000e+00	300
44	1.000000000000000e+00	300
45	1.000000000000000e+00	300
46	1.000000000000000e+00	300
47	1.000000000000000e+00	300
48	1.000000000000000e+00	300
49	1.000000000000000e+00	300
50	1.000000000000000e+00	300
51	1.000000000000000e+00	300
52	1.000000000000000e+00	300
53	1.000000000000000e+00	300
54	1.000000000000000e+00	300
55	1.000000000000000e+00	300
56	1.000000000000000e+00	300
57	1.000000000000000e+00	300
58	1.000000000000000e+00	300
59	1.000000000000000e+00	300
60	1.000000000000000e+00	300
61	1.000000000000000e+00	300
62	1.000000000000000e+00	300
63	1.000000000000000e+00	300
64	1.000000000000000e+00	300
65	1.000000000000000e+00	300
66	1.000000000000000e+00	300
67	1.000000000000000e+00	300
68	1.000000000000000e+00	300
69	1.000000000000000e+00	300
70	1.000000000000000e+00	300
71	1.000000000000000e+00	300
72	1.000000000000000e+00	300
73	1.000000000000000e+00	300
74	1.000000000000000e+00	300
75	1.000000000000000e+00	300
76	1.000000000000000e+00	300
77	1.000000000000000e+00	300
78	1.000000000000000e+00	300
79	1.000000000000000e+00	300
80	1.000000000000000e+00	300
81	1.000000000000000e+00	300
82	1.000000000000000e+00	300
83	1.000000000000000e+00	300
84	1.000000000000000e+00	300
85	1.000000000000000e+00	300
86	1.000000000000000e+00	300
87	1.000000000000000e+00	300
88	1.000000000000000e+00	300
89	1.000000000000000e+00	300
90	1.000000000000000e+00	300
91	1.000000000000000e+00	300
92	1.000000000000000e+00	300
93	1.000000000000000e+00	300
94	1.000000000000000e+00	300
95	1.000000000000000e+00	300
96	1.000000000000000e+00	300
97	1.000000000000000e+00	300
98	1.000000000000000e+00	300
99	1.000000000000000e+00	300
100	1.000000000000000e+00	300


Tempo gasto: 0.130708
