Método usado: ANTCOLONY OPTIMIZATION

POSIÇÃO	ÁREA(mm²)	CUSTO

1	1.000000000000000e+00	20
2	1.000000000000000e+00	20
3	1.000000000000000e+00	60
4	1.000000000000000e+00	20
5	1.000000000000000e+00	40
6	1.000000000000000e+00	20
7	1.000000000000000e+00	20
8	1.000000000000000e+00	40
9	1.000000000000000e+00	20
10	1.000000000000000e+00	20
11	1.000000000000000e+00	80
12	1.000000000000000e+00	20
13	1.000000000000000e+00	20
14	1.000000000000000e+00	40
15	1.000000000000000e+00	20
16	1.000000000000000e+00	20
17	1.000000000000000e+00	20
18	1.000000000000000e+00	20
19	1.000000000000000e+00	60
20	1.000000000000000e+00	180
21	1.000000000000000e+00	60
22	1.000000000000000e+00	20
23	1.000000000000000e+00	40
24	1.000000000000000e+00	40
25	1.000000000000000e+00	40
26	1.000000000000000e+00	20
27	1.000000000000000e+00	120
28	1.000000000000000e+00	80
29	1.000000000000000e+00	40
30	1.000000000000000e+00	20
31	1.000000000000000e+00	20
32	1.000000000000000e+00	20
33	1.000000000000000e+00	20
34	1.000000000000000e+00	20
35	1.000000000000000e+00	20
36	1.000000000000000e+00	20
37	1.000000000000000e+00	20
38	1.000000000000000e+00	200
39	1.000000000000000e+00	40
40	1.000000000000000e+00	20
41	1.000000000000000e+00	20
42	1.000000000000000e+00	40
43	1.000000000000000e+00	120
44	1.000000000000000e+00	20
45	1.000000000000000e+00	20
46	1.000000000000000e+00	40
47	1.000000000000000e+00	40
48	1.000000000000000e+00	20
49	1.000000000000000e+00	100
50	1.000000000000000e+00	20
51	1.000000000000000e+00	20
52	1.000000000000000e+00	20
53	1.000000000000000e+00	220
54	1.000000000000000e+00	40
55	1.000000000000000e+00	20
56	1.000000000000000e+00	40
57	1.000000000000000e+00	20
58	1.000000000000000e+00	20
59	1.000000000000000e+00	20
60	1.000000000000000e+00	40
61	1.000000000000000e+00	40
62	1.000000000000000e+00	100
63	1.000000000000000e+00	100
64	1.000000000000000e+00	120
65	1.000000000000000e+00	20
66	1.000000000000000e+00	60
67	1.000000000000000e+00	20
68	1.000000000000000e+00	40
69	1.000000000000000e+00	20
70	1.000000000000000e+00	20
71	1.000000000000000e+00	20
72	1.000000000000000e+00	20
73	1.000000000000000e+00	20
74	1.000000000000000e+00	20
75	1.000000000000000e+00	20
76	1.000000000000000e+00	20
77	1.000000000000000e+00	60
78	1.000000000000000e+00	20
79	1.000000000000000e+00	20
80	1.000000000000000e+00	20
81	1.000000000000000e+00	60
82	1.000000000000000e+00	20
83	1.000000000000000e+00	20
84	1.000000000000000e+00	20
85	1.000000000000000e+00	40
86	1.000000000000000e+00	20
87	1.000000000000000e+00	20
88	1.000000000000000e+00	20
89	1.000000000000000e+00	40
90	1.000000000000000e+00	160
91	1.000000000000000e+00	20
92	1.000000000000000e+00	40
93	1.000000000000000e+00	160
94	1.000000000000000e+00	120
95	1.000000000000000e+00	20
96	1.000000000000000e+00	20
97	1.000000000000000e+00	20
98	1.000000000000000e+00	40
99	1.000000000000000e+00	120
100	1.000000000000000e+00	60
101	9.500000000000001e-01	80
102	9.000000000000000e-01	20
103	8.500000000000001e-01	40
104	8.000000000000000e-01	140
105	7.500000000000000e-01	20
106	7.000000000000001e-01	20
107	7.000000000000001e-01	40
108	7.000000000000001e-01	20
109	7.000000000000001e-01	60
110	6.500000000000000e-01	60
111	6.000000000000001e-01	20
112	7.000000000000001e-01	40
113	7.500000000000000e-01	20
114	8.500000000000001e-01	20
115	9.000000000000000e-01	120
116	9.000000000000000e-01	20
117	9.500000000000001e-01	100
118	9.000000000000000e-01	20
119	8.500000000000001e-01	120
120	8.000000000000000e-01	60
121	7.500000000000000e-01	80
122	6.500000000000000e-01	20
123	6.000000000000001e-01	20
124	6.000000000000001e-01	80
125	6.500000000000000e-01	20
126	7.500000000000000e-01	60
127	8.000000000000000e-01	20
128	8.500000000000001e-01	20
129	9.000000000000000e-01	20
130	9.500000000000001e-01	20
131	1.000000000000000e+00	20
132	1.000000000000000e+00	20
133	1.000000000000000e+00	20
134	1.000000000000000e+00	20
135	1.000000000000000e+00	40
136	1.000000000000000e+00	20
137	1.000000000000000e+00	20
138	1.000000000000000e+00	60
139	1.000000000000000e+00	20
140	1.000000000000000e+00	20
141	1.000000000000000e+00	20
142	1.000000000000000e+00	20
143	1.000000000000000e+00	20
144	1.000000000000000e+00	60
145	1.000000000000000e+00	20
146	1.000000000000000e+00	40
147	1.000000000000000e+00	20
148	1.000000000000000e+00	20
149	1.000000000000000e+00	20
150	1.000000000000000e+00	100
151	1.000000000000000e+00	20
152	1.000000000000000e+00	20
153	1.000000000000000e+00	20
154	1.000000000000000e+00	20
155	1.000000000000000e+00	20
156	1.000000000000000e+00	40
157	1.000000000000000e+00	40
158	1.000000000000000e+00	60
159	1.000000000000000e+00	20
160	1.000000000000000e+00	160
161	1.000000000000000e+00	40
162	1.000000000000000e+00	20
163	1.000000000000000e+00	20
164	1.000000000000000e+00	20
165	1.000000000000000e+00	20
166	1.000000000000000e+00	40
167	1.000000000000000e+00	20
168	1.000000000000000e+00	60
169	1.000000000000000e+00	20
170	1.000000000000000e+00	20
171	1.000000000000000e+00	20
172	1.000000000000000e+00	20
173	1.000000000000000e+00	20
174	1.000000000000000e+00	20
175	1.000000000000000e+00	20
176	1.000000000000000e+00	20
177	1.000000000000000e+00	80
178	1.000000000000000e+00	20
179	1.000000000000000e+00	20
180	1.000000000000000e+00	20
181	1.000000000000000e+00	80
182	1.000000000000000e+00	80
183	1.000000000000000e+00	140
184	1.000000000000000e+00	20
185	1.000000000000000e+00	20
186	1.000000000000000e+00	20
187	1.000000000000000e+00	20
188	1.000000000000000e+00	40
189	1.000000000000000e+00	20
190	1.000000000000000e+00	80
191	1.000000000000000e+00	20
192	1.000000000000000e+00	60
193	1.000000000000000e+00	20
194	1.000000000000000e+00	20
195	1.000000000000000e+00	20
196	1.000000000000000e+00	20
197	1.000000000000000e+00	20
198	1.000000000000000e+00	20
199	1.000000000000000e+00	20
200	1.000000000000000e+00	20
201	1.000000000000000e+00	20
202	1.000000000000000e+00	60
203	1.000000000000000e+00	60
204	1.000000000000000e+00	20
205	1.000000000000000e+00	20
206	1.000000000000000e+00	20
207	1.000000000000000e+00	40
208	1.000000000000000e+00	40
209	1.000000000000000e+00	60
210	1.000000000000000e+00	20
211	1.000000000000000e+00	20
212	1.000000000000000e+00	20
213	1.000000000000000e+00	20
214	1.000000000000000e+00	60
215	1.000000000000000e+00	40
216	1.000000000000000e+00	20
217	1.000000000000000e+00	20
218	1.000000000000000e+00	20
219	1.000000000000000e+00	20
220	1.000000000000000e+00	60
221	1.000000000000000e+00	60
222	1.000000000000000e+00	20
223	1.000000000000000e+00	20
224	1.000000000000000e+00	80
225	1.000000000000000e+00	120
226	1.000000000000000e+00	100
227	1.000000000000000e+00	40
228	1.000000000000000e+00	40
229	1.000000000000000e+00	20
230	1.000000000000000e+00	20
231	1.000000000000000e+00	60
232	1.000000000000000e+00	80
233	1.000000000000000e+00	40
234	1.000000000000000e+00	40
235	1.000000000000000e+00	20
236	1.000000000000000e+00	20
237	1.000000000000000e+00	20
238	1.000000000000000e+00	20
239	1.000000000000000e+00	20
240	1.000000000000000e+00	20
241	1.000000000000000e+00	60
242	1.000000000000000e+00	20
243	1.000000000000000e+00	20
244	1.000000000000000e+00	20
245	1.000000000000000e+00	20
246	1.000000000000000e+00	40
247	1.000000000000000e+00	20
248	1.000000000000000e+00	60
249	1.000000000000000e+00	20
250	1.000000000000000e+00	20
251	1.000000000000000e+00	40
252	1.000000000000000e+00	80
253	1.000000000000000e+00	20
254	1.000000000000000e+00	20
255	1.000000000000000e+00	40
256	1.000000000000000e+00	20
257	1.000000000000000e+00	80
258	1.000000000000000e+00	20
259	1.000000000000000e+00	40
260	1.000000000000000e+00	20
261	1.000000000000000e+00	20
262	1.000000000000000e+00	120
263	1.000000000000000e+00	40
264	1.000000000000000e+00	20
265	1.000000000000000e+00	120
266	1.000000000000000e+00	20
267	1.000000000000000e+00	140
268	1.000000000000000e+00	20
269	1.000000000000000e+00	20
270	1.000000000000000e+00	20
271	1.000000000000000e+00	20
272	1.000000000000000e+00	40
273	1.000000000000000e+00	20
274	1.000000000000000e+00	20
275	1.000000000000000e+00	20
276	1.000000000000000e+00	20
277	1.000000000000000e+00	20
278	1.000000000000000e+00	40
279	1.000000000000000e+00	20
280	1.000000000000000e+00	20
281	1.000000000000000e+00	40
282	1.000000000000000e+00	80
283	1.000000000000000e+00	40
284	1.000000000000000e+00	80
285	1.000000000000000e+00	20
286	1.000000000000000e+00	20
287	1.000000000000000e+00	20
288	1.000000000000000e+00	20
289	1.000000000000000e+00	40
290	1.000000000000000e+00	20
291	1.000000000000000e+00	40
292	1.000000000000000e+00	60
293	1.000000000000000e+00	40
294	1.000000000000000e+00	20
295	1.000000000000000e+00	20
296	1.000000000000000e+00	60
297	1.000000000000000e+00	40
298	1.000000000000000e+00	120
299	1.000000000000000e+00	80
300	1.000000000000000e+00	20
301	1.000000000000000e+00	20
302	1.000000000000000e+00	120
303	1.000000000000000e+00	20
304	1.000000000000000e+00	20
305	1.000000000000000e+00	20
306	1.000000000000000e+00	20
307	1.000000000000000e+00	20
308	1.000000000000000e+00	20
309	1.000000000000000e+00	40
310	1.000000000000000e+00	20
311	1.000000000000000e+00	140
312	1.000000000000000e+00	20
313	1.000000000000000e+00	20
314	1.000000000000000e+00	20
315	1.000000000000000e+00	80
316	1.000000000000000e+00	60
317	1.000000000000000e+00	20
318	1.000000000000000e+00	20
319	1.000000000000000e+00	40
320	1.000000000000000e+00	160
321	1.000000000000000e+00	40
322	1.000000000000000e+00	20
323	1.000000000000000e+00	40
324	1.000000000000000e+00	20
325	1.000000000000000e+00	20
326	1.000000000000000e+00	60
327	1.000000000000000e+00	20
328	1.000000000000000e+00	20
329	1.000000000000000e+00	20
330	1.000000000000000e+00	60
331	1.000000000000000e+00	40
332	1.000000000000000e+00	40
333	1.000000000000000e+00	40
334	1.000000000000000e+00	20
335	1.000000000000000e+00	20
336	1.000000000000000e+00	60
337	1.000000000000000e+00	20
338	1.000000000000000e+00	20
339	1.000000000000000e+00	20
340	1.000000000000000e+00	40
341	1.000000000000000e+00	20
342	1.000000000000000e+00	20
343	1.000000000000000e+00	60
344	1.000000000000000e+00	20
345	1.000000000000000e+00	20
346	1.000000000000000e+00	20
347	1.000000000000000e+00	80
348	1.000000000000000e+00	40
349	1.000000000000000e+00	20
350	1.000000000000000e+00	20
351	1.000000000000000e+00	80
352	1.000000000000000e+00	20
353	1.000000000000000e+00	20
354	1.000000000000000e+00	20
